Chr;Left;Right;Motif name;Frequency;Occuriencies around loop;Occuriencies in genome
chr2;214;223;hbx5-1_M0873_1.02;0.00037;4;10702
chr2;214;223;DDB_G0275333_M0101_1.02;0.00047;1;2125
chr2;214;223;hbx5-2_M0874_1.02;0.00033;1;3073
chr4;60;66;hbx5-1_M0873_1.02;0.00019;2;10702
chr1;901;911;gtaE_M0773_1.02;0.00057;1;1766
chr5;2430;2441;hbx5-1_M0873_1.02;0.00019;2;10702
chr5;2430;2441;mybG_M1351_1.02;0.00026;2;7662
chr5;2430;2441;bzpS_M0288_1.02;0.00427;2;468
chr5;2430;2441;bzpH_M0283_1.02;0.00036;2;5514
chr5;2430;2441;gbfA_M1673_1.02;0.00023;1;4289
chr5;2430;2441;hbx10_M0878_1.02;0.00032;1;3127
chr5;1032;1039;mybG_M1351_1.02;0.00013;1;7662
chr5;1032;1039;gbfA_M1673_1.02;0.00070;3;4289
chr5;1032;1039;bzpQ_M0286_1.02;0.00169;1;593
chr5;1032;1039;mybV_M1348_1.02;0.00328;8;2436
chr5;1032;1039;dimB_M0289_1.02;0.00324;1;309
chr3;151;159;hbx5-1_M0873_1.02;0.00009;1;10702
chr3;151;159;bzpH_M0283_1.02;0.00036;2;5514
chr3;151;159;hbx4_M0872_1.02;0.00218;1;459
chr4;1084;1092;hbx5-1_M0873_1.02;0.00009;1;10702
chr4;1084;1092;DDB_G0270590_M1714_1.02;0.00228;1;439
chr4;1084;1092;mybG_M1351_1.02;0.00039;3;7662
chr4;1084;1092;gtaL_M0780_1.02;0.00286;1;350
chr4;1084;1092;gtaI_M0779_1.02;0.00277;1;361
chr4;1084;1092;srfA_M1297_1.02;0.00081;1;1240
chr4;1084;1092;hbx2_M0875_1.02;0.00211;1;474
chr4;1084;1092;mybE_M1349_1.02;0.00171;1;584
chr5;653;659;hbx5-1_M0873_1.02;0.00056;6;10702
chr5;653;659;mybG_M1351_1.02;0.00052;4;7662
chr5;653;659;bzpS_M0288_1.02;0.00427;2;468
chr5;653;659;gtaH_M0777_1.02;0.00277;1;361
chr5;653;659;bzpH_M0283_1.02;0.00109;6;5514
chr5;653;659;hbx10_M0878_1.02;0.00096;3;3127
chr5;653;659;hbx5-2_M0874_1.02;0.00033;1;3073
chr5;653;659;DDB_G0275333_M0101_1.02;0.00094;2;2125
chr3;468;481;hbx5-1_M0873_1.02;0.00009;1;10702
chr3;468;481;mybV_M1348_1.02;0.00041;1;2436
chr3;468;481;gtaH_M0777_1.02;0.00277;1;361
chr2;3718;3733;hbx5-1_M0873_1.02;0.00019;2;10702
chr2;3718;3733;hbx5-2_M0874_1.02;0.00033;1;3073
chr2;3718;3733;hbx10_M0878_1.02;0.00064;2;3127
chr5;124;135;hbx5-1_M0873_1.02;0.00028;3;10702
chr5;124;135;hbx9_M0877_1.02;0.00166;1;602
chr5;124;135;gtaE_M0773_1.02;0.00113;2;1766
chr5;124;135;gbfA_M1673_1.02;0.00047;2;4289
chr5;124;135;hbx5-2_M0874_1.02;0.00065;2;3073
chr5;124;135;gtaC_M0776_1.02;0.00173;1;579
chr4;2411;2419;hbx5-1_M0873_1.02;0.00028;3;10702
chr4;2411;2419;hbx4_M0872_1.02;0.00218;1;459
chr4;2411;2419;mybG_M1351_1.02;0.00065;5;7662
chr4;2411;2419;bzpH_M0283_1.02;0.00036;2;5514
chr4;2411;2419;gbfA_M1673_1.02;0.00047;2;4289
chr4;2411;2419;hbx5-2_M0874_1.02;0.00033;1;3073
chr5;1263;1269;hbx5-1_M0873_1.02;0.00028;3;10702
chr5;1263;1269;hbx9_M0877_1.02;0.00166;1;602
chr5;1263;1269;mybG_M1351_1.02;0.00013;1;7662
chr5;1263;1269;mybAA_M1347_1.02;0.00330;1;303
chr5;1263;1269;bzpH_M0283_1.02;0.00109;6;5514
chr5;1263;1269;gtaE_M0773_1.02;0.00057;1;1766
chr5;1263;1269;hbx5-2_M0874_1.02;0.00033;1;3073
chr5;1263;1269;hbx10_M0878_1.02;0.00032;1;3127
chr2;3976;3988;hbx5-1_M0873_1.02;0.00019;2;10702
chr2;3976;3988;bzpH_M0283_1.02;0.00073;4;5514
chr2;3976;3988;mybI_M1352_1.02;0.01408;1;71
chr2;3976;3988;hbx5-2_M0874_1.02;0.00033;1;3073
chr2;2001;2017;mybG_M1351_1.02;0.00013;1;7662
chr2;2001;2017;hbx10_M0878_1.02;0.00032;1;3127
chr3;438;445;hbx5-1_M0873_1.02;0.00009;1;10702
chr4;2704;2711;hbx5-1_M0873_1.02;0.00009;1;10702
chr4;2704;2711;hbx10_M0878_1.02;0.00032;1;3127
chr6;389;402;mybG_M1351_1.02;0.00052;4;7662
chr6;389;402;gbfA_M1673_1.02;0.00023;1;4289
chr6;162;171;stkA_M0775_1.02;0.00172;1;583
chr6;162;171;bzpJ_M0282_1.02;0.00099;1;1011
chr1;659;665;mybG_M1351_1.02;0.00013;1;7662
chr1;659;665;hbx5-1_M0873_1.02;0.00009;1;10702
chr1;659;665;mybV_M1348_1.02;0.00041;1;2436
chr5;280;288;bzpH_M0283_1.02;0.00073;4;5514
chr5;280;288;DDB_G0275333_M0101_1.02;0.00047;1;2125
chr5;280;288;gbfA_M1673_1.02;0.00023;1;4289
chr2;2395;2403;mybG_M1351_1.02;0.00013;1;7662
chr2;2395;2403;gtaG_M0774_1.02;0.00578;1;173
chr2;2395;2403;gtaT_M0778_1.02;0.00188;1;532
chr2;2395;2403;DDB_G0275333_M0101_1.02;0.00047;1;2125
chr3;2113;2120;hbx5-1_M0873_1.02;0.00019;2;10702
chr3;2113;2120;mybZ_M1350_1.02;0.00428;2;467
chr3;2113;2120;hbx5-2_M0874_1.02;0.00033;1;3073
chr1;543;550;hbx5-1_M0873_1.02;0.00019;2;10702
chr1;543;550;mybV_M1348_1.02;0.00041;1;2436
chr1;543;550;mybG_M1351_1.02;0.00013;1;7662
chr1;543;550;bzpH_M0283_1.02;0.00036;2;5514
chr1;543;550;gbfA_M1673_1.02;0.00023;1;4289
chr1;543;550;hbx10_M0878_1.02;0.00032;1;3127
chr5;1585;1601;hbx5-1_M0873_1.02;0.00009;1;10702
chr5;1585;1601;stkA_M0775_1.02;0.00172;1;583
chr5;1585;1601;hbx5-2_M0874_1.02;0.00033;1;3073
chr5;401;414;hbx5-1_M0873_1.02;0.00009;1;10702
chr3;1854;1859;mybG_M1351_1.02;0.00013;1;7662
chr3;1854;1859;hbx5-1_M0873_1.02;0.00009;1;10702
chr3;1854;1859;hbx5-2_M0874_1.02;0.00033;1;3073
chr3;1854;1859;mybV_M1348_1.02;0.00041;1;2436
chr2;663;670;hbx5-1_M0873_1.02;0.00028;3;10702
chr2;663;670;gtaE_M0773_1.02;0.00113;2;1766
chr2;663;670;DDB_G0275333_M0101_1.02;0.00047;1;2125
chr2;663;670;hbx10_M0878_1.02;0.00032;1;3127
chr3;2935;2944;gtaE_M0773_1.02;0.00057;1;1766
chr3;2935;2944;gbfA_M1673_1.02;0.00023;1;4289
chr3;2935;2944;bzpQ_M0286_1.02;0.00169;1;593
chr2;2548;2560;hbx5-1_M0873_1.02;0.00009;1;10702
chr2;2548;2560;hbx9_M0877_1.02;0.00166;1;602
chr2;2548;2560;mybG_M1351_1.02;0.00013;1;7662
chr2;2548;2560;bzpH_M0283_1.02;0.00036;2;5514
chr2;2548;2560;gbfA_M1673_1.02;0.00047;2;4289
chr2;2548;2560;hbx5-2_M0874_1.02;0.00033;1;3073
chr2;536;544;hbx5-1_M0873_1.02;0.00019;2;10702
chr2;536;544;hbx4_M0872_1.02;0.00218;1;459
chr2;536;544;mybG_M1351_1.02;0.00026;2;7662
chr2;536;544;bzpH_M0283_1.02;0.00036;2;5514
chr2;536;544;gtaE_M0773_1.02;0.00057;1;1766
chr2;536;544;hbx5-2_M0874_1.02;0.00033;1;3073
chr2;536;544;hbx10_M0878_1.02;0.00032;1;3127
chr1;187;193;mybG_M1351_1.02;0.00013;1;7662
chr1;187;193;hbx5-1_M0873_1.02;0.00009;1;10702
chr1;187;193;bzpH_M0283_1.02;0.00036;2;5514
chr1;187;193;mybV_M1348_1.02;0.00041;1;2436
chr4;1390;1401;mybG_M1351_1.02;0.00039;3;7662
chr4;1390;1401;hbx5-1_M0873_1.02;0.00019;2;10702
chr4;1390;1401;gbfA_M1673_1.02;0.00023;1;4289
chr4;1390;1401;gtaT_M0778_1.02;0.00188;1;532
chr2;2581;2590;gtaE_M0773_1.02;0.00057;1;1766
chr2;1960;1972;mybG_M1351_1.02;0.00013;1;7662
chr2;1960;1972;mybV_M1348_1.02;0.00041;1;2436
chr3;2890;2899;mybG_M1351_1.02;0.00052;4;7662
chr3;2890;2899;hbx5-1_M0873_1.02;0.00009;1;10702
chr3;2890;2899;gbfA_M1673_1.02;0.00023;1;4289
chr2;1062;1074;mybG_M1351_1.02;0.00013;1;7662
chr2;1062;1074;hbx5-1_M0873_1.02;0.00009;1;10702
chr2;1062;1074;hbx10_M0878_1.02;0.00032;1;3127
chr2;1062;1074;mybQ_M1353_1.02;0.00435;1;230
chr1;496;502;mybG_M1351_1.02;0.00013;1;7662
chr1;496;502;gtaE_M0773_1.02;0.00057;1;1766
chr1;496;502;gbfA_M1673_1.02;0.00023;1;4289
chr1;496;502;mybE_M1349_1.02;0.00171;1;584
chr5;1126;1132;mybG_M1351_1.02;0.00013;1;7662
chr5;1126;1132;hbx5-1_M0873_1.02;0.00019;2;10702
chr5;1126;1132;gbfA_M1673_1.02;0.00023;1;4289
chr4;1020;1030;hbx5-1_M0873_1.02;0.00009;1;10702
chr4;1020;1030;gbfA_M1673_1.02;0.00023;1;4289
chr5;361;368;mybG_M1351_1.02;0.00026;2;7662
chr5;361;368;bzpH_M0283_1.02;0.00036;2;5514
chr5;361;368;DDB_G0275333_M0101_1.02;0.00047;1;2125
chr5;361;368;bzpJ_M0282_1.02;0.00099;1;1011
chr5;361;368;gtaE_M0773_1.02;0.00113;2;1766
chr2;604;618;hbx5-1_M0873_1.02;0.00037;4;10702
chr2;604;618;gtaL_M0780_1.02;0.00286;1;350
chr2;604;618;bzpH_M0283_1.02;0.00036;2;5514
chr2;604;618;hbx5-2_M0874_1.02;0.00033;1;3073
chr2;604;618;gtaC_M0776_1.02;0.00345;2;579
chr2;604;618;mybE_M1349_1.02;0.00171;1;584
chr2;940;951;hbx5-1_M0873_1.02;0.00009;1;10702
chr2;940;951;bzpD_M0284_1.02;0.00266;1;376
chr1;2054;2063;hbx5-1_M0873_1.02;0.00037;4;10702
chr1;2054;2063;gtaE_M0773_1.02;0.00057;1;1766
chr1;2054;2063;mybG_M1351_1.02;0.00013;1;7662
chr1;2054;2063;srfA_M1297_1.02;0.00161;2;1240
chr1;2054;2063;hbx5-2_M0874_1.02;0.00033;1;3073
chr1;2054;2063;gtaC_M0776_1.02;0.00173;1;579
chr1;2054;2063;DDB_G0275333_M0101_1.02;0.00094;2;2125
chr2;625;630;stkA_M0775_1.02;0.00172;1;583
chr2;625;630;hbx10_M0878_1.02;0.00032;1;3127
chr6;1172;1184;hbx5-1_M0873_1.02;0.00019;2;10702
chr6;1172;1184;mybV_M1348_1.02;0.00041;1;2436
chr6;1172;1184;mybG_M1351_1.02;0.00013;1;7662
chr6;1172;1184;bzpH_M0283_1.02;0.00036;2;5514
chr6;1172;1184;gbfA_M1673_1.02;0.00023;1;4289
chr6;1172;1184;hbx5-2_M0874_1.02;0.00065;2;3073
chr4;990;999;mybG_M1351_1.02;0.00026;2;7662
chr4;990;999;hbx5-1_M0873_1.02;0.00037;4;10702
chr4;990;999;gbfA_M1673_1.02;0.00023;1;4289
chr4;990;999;hbx10_M0878_1.02;0.00032;1;3127
chr4;990;999;hbx5-2_M0874_1.02;0.00065;2;3073
chr4;2382;2393;hbx5-1_M0873_1.02;0.00009;1;10702
chr4;2382;2393;stkA_M0775_1.02;0.00172;1;583
chr4;2382;2393;hbx10_M0878_1.02;0.00032;1;3127
chr4;2382;2393;hbx5-2_M0874_1.02;0.00033;1;3073
chr3;1125;1132;bzpH_M0283_1.02;0.00036;2;5514
chr1;538;546;mybG_M1351_1.02;0.00013;1;7662
chr1;538;546;DDB_G0275333_M0101_1.02;0.00094;2;2125
chr1;538;546;hbx9_M0877_1.02;0.00166;1;602
chr1;538;546;bzpJ_M0282_1.02;0.00099;1;1011
chr3;2198;2206;hbx5-1_M0873_1.02;0.00019;2;10702
chr3;2198;2206;gtaE_M0773_1.02;0.00057;1;1766
chr3;2198;2206;gbfA_M1673_1.02;0.00023;1;4289
chr3;2198;2206;hbx5-2_M0874_1.02;0.00033;1;3073
chr3;2198;2206;gtaN_M0781_1.02;0.00610;1;164
chr3;2198;2206;hbx10_M0878_1.02;0.00032;1;3127
chr3;2198;2206;DDB_G0275333_M0101_1.02;0.00047;1;2125
chr4;1442;1455;hbx5-1_M0873_1.02;0.00009;1;10702
chr1;2325;2332;mybG_M1351_1.02;0.00013;1;7662
chr1;2325;2332;hbx5-1_M0873_1.02;0.00009;1;10702
chr1;2325;2332;hbx5-2_M0874_1.02;0.00033;1;3073
chr5;1530;1538;hbx5-1_M0873_1.02;0.00019;2;10702
chr5;1530;1538;mybAA_M1347_1.02;0.00330;1;303
chr5;1530;1538;mybV_M1348_1.02;0.00041;1;2436
chr5;1530;1538;mybG_M1351_1.02;0.00013;1;7662
chr5;1530;1538;gtaT_M0778_1.02;0.00188;1;532
chr5;1530;1538;gtaE_M0773_1.02;0.00057;1;1766
chr5;1530;1538;gtaC_M0776_1.02;0.00173;1;579
chr3;3052;3061;mybG_M1351_1.02;0.00013;1;7662
chr3;3052;3061;hbx10_M0878_1.02;0.00064;2;3127
chr3;3052;3061;gtaL_M0780_1.02;0.00571;2;350
chr3;3052;3061;srfA_M1297_1.02;0.00081;1;1240
chr3;3052;3061;gtaC_M0776_1.02;0.00345;2;579
chr3;2953;2959;bzpH_M0283_1.02;0.00036;2;5514
chr3;2953;2959;gbfA_M1673_1.02;0.00023;1;4289
chr3;2953;2959;mybE_M1349_1.02;0.00171;1;584
chr3;2953;2959;gtaT_M0778_1.02;0.00188;1;532
chr3;2953;2959;E2F_M0666_1.02;0.00126;1;796
chr2;4098;4111;hbx5-1_M0873_1.02;0.00019;2;10702
chr2;4098;4111;mybE_M1349_1.02;0.00171;1;584
chr4;999;1004;hbx5-1_M0873_1.02;0.00028;3;10702
chr4;999;1004;bzpH_M0283_1.02;0.00036;2;5514
chr4;999;1004;hbx5-2_M0874_1.02;0.00033;1;3073
chr4;776;781;mybG_M1351_1.02;0.00013;1;7662
chr4;776;781;hbx5-1_M0873_1.02;0.00009;1;10702
chr4;776;781;hbx5-2_M0874_1.02;0.00033;1;3073
chr3;2405;2413;hbx5-1_M0873_1.02;0.00019;2;10702
chr3;2405;2413;bzpH_M0283_1.02;0.00036;2;5514
chr3;2405;2413;hbx4_M0872_1.02;0.00218;1;459
chr3;2405;2413;srfA_M1297_1.02;0.00081;1;1240
chr3;612;621;mybG_M1351_1.02;0.00013;1;7662
chr3;612;621;stkA_M0775_1.02;0.00172;1;583
chr3;612;621;gbfA_M1673_1.02;0.00023;1;4289
chr3;612;621;hbx5-2_M0874_1.02;0.00033;1;3073
chr3;612;621;hbx5-1_M0873_1.02;0.00019;2;10702
chr4;170;178;mybG_M1351_1.02;0.00013;1;7662
chr4;170;178;hbx5-1_M0873_1.02;0.00009;1;10702
chr4;170;178;DDB_G0275333_M0101_1.02;0.00047;1;2125
chr4;170;178;bzpH_M0283_1.02;0.00036;2;5514
chr4;170;178;hbx9_M0877_1.02;0.00332;2;602
chr4;2031;2046;hbx5-1_M0873_1.02;0.00009;1;10702
chr4;2031;2046;hbx10_M0878_1.02;0.00032;1;3127
chr4;2031;2046;mybE_M1349_1.02;0.00171;1;584
chr4;2031;2046;bzpQ_M0286_1.02;0.00169;1;593
chr5;457;468;mybG_M1351_1.02;0.00026;2;7662
chr5;457;468;hbx5-1_M0873_1.02;0.00028;3;10702
chr5;457;468;hbx10_M0878_1.02;0.00032;1;3127
chr6;127;136;gbfA_M1673_1.02;0.00023;1;4289
chr6;127;136;hbx10_M0878_1.02;0.00032;1;3127
chr6;127;136;bzpJ_M0282_1.02;0.00099;1;1011
chr1;162;171;mybG_M1351_1.02;0.00013;1;7662
chr1;162;171;hbx5-1_M0873_1.02;0.00009;1;10702
chr1;162;171;mybAA_M1347_1.02;0.00330;1;303
chr1;1882;1890;hbx5-1_M0873_1.02;0.00037;4;10702
chr1;1882;1890;srfA_M1297_1.02;0.00081;1;1240
chr2;1923;1936;hbx5-1_M0873_1.02;0.00019;2;10702
chr2;1923;1936;stkA_M0775_1.02;0.00172;1;583
chr2;1923;1936;mybV_M1348_1.02;0.00041;1;2436
chr2;1923;1936;gtaE_M0773_1.02;0.00057;1;1766
chr2;1923;1936;hbx10_M0878_1.02;0.00064;2;3127
chr2;1923;1936;DDB_G0270590_M1714_1.02;0.00228;1;439
chr5;717;727;hbx5-1_M0873_1.02;0.00009;1;10702
chr5;717;727;stkA_M0775_1.02;0.00172;1;583
chr5;717;727;mybG_M1351_1.02;0.00013;1;7662
chr5;717;727;gtaH_M0777_1.02;0.00554;2;361
chr5;717;727;gtaE_M0773_1.02;0.00057;1;1766
chr5;717;727;hbx10_M0878_1.02;0.00032;1;3127
chr5;717;727;bzpQ_M0286_1.02;0.00169;1;593
chr5;2104;2115;hbx5-1_M0873_1.02;0.00009;1;10702
chr5;2104;2115;srfA_M1297_1.02;0.00081;1;1240
chr5;2104;2115;hbx10_M0878_1.02;0.00032;1;3127
chr5;2104;2115;mybZ_M1350_1.02;0.00214;1;467
chr5;2104;2115;hbx9_M0877_1.02;0.00166;1;602
chr2;3565;3574;gbfA_M1673_1.02;0.00023;1;4289
chr2;3565;3574;hbx10_M0878_1.02;0.00032;1;3127
chr3;2576;2589;hbx5-1_M0873_1.02;0.00019;2;10702
chr3;2576;2589;hbx10_M0878_1.02;0.00032;1;3127
chr3;2576;2589;mybV_M1348_1.02;0.00041;1;2436
chr3;1521;1529;mybG_M1351_1.02;0.00013;1;7662
chr3;1521;1529;bzpH_M0283_1.02;0.00036;2;5514
chr3;1521;1529;srfA_M1297_1.02;0.00081;1;1240
chr4;1096;1108;hbx5-1_M0873_1.02;0.00019;2;10702
chr4;1096;1108;mybG_M1351_1.02;0.00013;1;7662
chr4;1096;1108;gbfA_M1673_1.02;0.00047;2;4289
chr4;1096;1108;hbx10_M0878_1.02;0.00032;1;3127
chr4;1096;1108;hbx5-2_M0874_1.02;0.00033;1;3073
chr4;1096;1108;mybE_M1349_1.02;0.00171;1;584
chr5;1813;1820;mybG_M1351_1.02;0.00013;1;7662
chr5;1813;1820;hbx5-1_M0873_1.02;0.00009;1;10702
chr5;1813;1820;bzpJ_M0282_1.02;0.00099;1;1011
chr5;51;58;hbx5-1_M0873_1.02;0.00009;1;10702
chr5;51;58;bzpS_M0288_1.02;0.00427;2;468
chr5;51;58;bzpH_M0283_1.02;0.00036;2;5514
chr5;51;58;hbx5-2_M0874_1.02;0.00033;1;3073
chr5;51;58;hbx10_M0878_1.02;0.00096;3;3127
chr5;51;58;mybE_M1349_1.02;0.00171;1;584
chr4;1683;1692;hbx5-1_M0873_1.02;0.00009;1;10702
chr4;1683;1692;hbx9_M0877_1.02;0.00166;1;602
chr4;1683;1692;mybG_M1351_1.02;0.00026;2;7662
chr4;1683;1692;gtaT_M0778_1.02;0.00188;1;532
chr4;1683;1692;gtaE_M0773_1.02;0.00057;1;1766
chr4;1683;1692;gbfA_M1673_1.02;0.00023;1;4289
chr4;1683;1692;hbx5-2_M0874_1.02;0.00033;1;3073
chr4;2143;2152;hbx5-1_M0873_1.02;0.00009;1;10702
chr4;2143;2152;mybQ_M1353_1.02;0.00870;2;230
chr4;2143;2152;mybV_M1348_1.02;0.00041;1;2436
chr4;2143;2152;dimB_M0289_1.02;0.00647;2;309
chr4;2143;2152;bzpH_M0283_1.02;0.00036;2;5514
chr4;2143;2152;bzpD_M0284_1.02;0.00532;2;376
chr4;2143;2152;bzpQ_M0286_1.02;0.00337;2;593
chr4;2143;2152;bzpO_M0287_1.02;0.00980;2;204
chr1;1516;1528;mybG_M1351_1.02;0.00013;1;7662
chr1;1516;1528;bzpH_M0283_1.02;0.00073;4;5514
chr1;1516;1528;hbx10_M0878_1.02;0.00032;1;3127
chr2;630;640;bzpH_M0283_1.02;0.00036;2;5514
chr2;630;640;stkA_M0775_1.02;0.00172;1;583
chr2;630;640;hbx9_M0877_1.02;0.00166;1;602
chr2;630;640;mybV_M1348_1.02;0.00041;1;2436
chr2;630;640;gtaE_M0773_1.02;0.00057;1;1766
chr4;1340;1351;mybG_M1351_1.02;0.00013;1;7662
chr4;1340;1351;hbx5-1_M0873_1.02;0.00009;1;10702
chr4;1340;1351;gbfA_M1673_1.02;0.00023;1;4289
chr4;1340;1351;gtaT_M0778_1.02;0.00188;1;532
chr4;1046;1056;mybG_M1351_1.02;0.00013;1;7662
chr4;1046;1056;gtaE_M0773_1.02;0.00057;1;1766
chr6;262;267;mybG_M1351_1.02;0.00013;1;7662
chr1;2328;2336;gtaE_M0773_1.02;0.00113;2;1766
chr1;2328;2336;gbfA_M1673_1.02;0.00023;1;4289
chr1;2328;2336;gtaT_M0778_1.02;0.00188;1;532
chr1;2328;2336;hbx10_M0878_1.02;0.00032;1;3127
chr2;1074;1083;mybG_M1351_1.02;0.00013;1;7662
chr2;1074;1083;hbx5-1_M0873_1.02;0.00019;2;10702
chr2;1074;1083;hbx10_M0878_1.02;0.00032;1;3127
chr2;1074;1083;hbx5-2_M0874_1.02;0.00033;1;3073
chr2;1074;1083;mybQ_M1353_1.02;0.00435;1;230
chr1;770;783;mybG_M1351_1.02;0.00039;3;7662
chr1;770;783;hbx5-1_M0873_1.02;0.00037;4;10702
chr1;770;783;hbx5-2_M0874_1.02;0.00033;1;3073
chr1;770;783;srfA_M1297_1.02;0.00081;1;1240
chr2;3115;3122;hbx4_M0872_1.02;0.00218;1;459
chr2;3115;3122;mybV_M1348_1.02;0.00082;2;2436
chr2;3115;3122;bzpJ_M0282_1.02;0.00099;1;1011
chr2;3115;3122;bzpH_M0283_1.02;0.00036;2;5514
chr2;3115;3122;gtaE_M0773_1.02;0.00057;1;1766
chr2;3115;3122;hbx10_M0878_1.02;0.00032;1;3127
chr3;91;102;hbx5-1_M0873_1.02;0.00019;2;10702
chr3;91;102;mybG_M1351_1.02;0.00013;1;7662
chr3;91;102;hbx2_M0875_1.02;0.00211;1;474
chr3;91;102;bzpH_M0283_1.02;0.00036;2;5514
chr3;91;102;gbfA_M1673_1.02;0.00023;1;4289
chr3;91;102;hbx5-2_M0874_1.02;0.00065;2;3073
chr3;91;102;hbx10_M0878_1.02;0.00032;1;3127
chr3;91;102;E2F_M0666_1.02;0.00251;2;796
chr3;3080;3087;mybG_M1351_1.02;0.00026;2;7662
chr3;3080;3087;hbx5-1_M0873_1.02;0.00009;1;10702
chr3;3080;3087;DDB_G0270590_M1714_1.02;0.00228;1;439
chr3;3080;3087;hbx5-2_M0874_1.02;0.00033;1;3073
chr3;3080;3087;bzpJ_M0282_1.02;0.00099;1;1011
chr6;591;607;hbx5-1_M0873_1.02;0.00009;1;10702
chr6;591;607;hbx5-2_M0874_1.02;0.00033;1;3073
chr6;591;607;hbx10_M0878_1.02;0.00064;2;3127
chr6;591;607;srfA_M1297_1.02;0.00081;1;1240
chr5;312;321;mybG_M1351_1.02;0.00013;1;7662
chr5;312;321;hbx5-1_M0873_1.02;0.00028;3;10702
chr5;312;321;bzpH_M0283_1.02;0.00036;2;5514
chr5;312;321;hbx5-2_M0874_1.02;0.00065;2;3073
chr5;312;321;hbx10_M0878_1.02;0.00032;1;3127
chr3;2153;2159;hbx5-1_M0873_1.02;0.00009;1;10702
chr3;2153;2159;stkA_M0775_1.02;0.00172;1;583
chr3;2153;2159;DDB_G0275333_M0101_1.02;0.00094;2;2125
chr3;2153;2159;hbx5-2_M0874_1.02;0.00033;1;3073
chr1;1966;1972;hbx5-1_M0873_1.02;0.00009;1;10702
chr1;1966;1972;stkA_M0775_1.02;0.00172;1;583
chr1;1966;1972;mybG_M1351_1.02;0.00013;1;7662
chr1;1966;1972;hbx10_M0878_1.02;0.00032;1;3127
chr1;1966;1972;hbx5-2_M0874_1.02;0.00033;1;3073
chr1;1966;1972;mybE_M1349_1.02;0.00171;1;584
chr4;1140;1147;mybG_M1351_1.02;0.00026;2;7662
chr4;1140;1147;hbx5-1_M0873_1.02;0.00019;2;10702
chr4;1140;1147;hbx9_M0877_1.02;0.00166;1;602
chr4;1140;1147;hbx2_M0875_1.02;0.00422;2;474
chr6;662;671;mybG_M1351_1.02;0.00039;3;7662
chr6;662;671;hbx5-1_M0873_1.02;0.00009;1;10702
chr6;662;671;gtaG_M0774_1.02;0.00578;1;173
chr6;662;671;gbfA_M1673_1.02;0.00023;1;4289
chr2;2112;2120;hbx5-1_M0873_1.02;0.00009;1;10702
chr2;2112;2120;bzpH_M0283_1.02;0.00036;2;5514
chr2;2112;2120;DDB_G0270590_M1714_1.02;0.00228;1;439
chr2;2112;2120;hbx5-2_M0874_1.02;0.00033;1;3073
chr1;1691;1701;mybG_M1351_1.02;0.00013;1;7662
chr1;1691;1701;gtaE_M0773_1.02;0.00057;1;1766
chr5;2517;2526;hbx5-1_M0873_1.02;0.00019;2;10702
chr5;2517;2526;mybG_M1351_1.02;0.00013;1;7662
chr5;2517;2526;hbx2_M0875_1.02;0.00211;1;474
chr5;2517;2526;gbfA_M1673_1.02;0.00023;1;4289
chr5;2517;2526;hbx10_M0878_1.02;0.00032;1;3127
chr5;2517;2526;hbx5-2_M0874_1.02;0.00033;1;3073
chr5;2517;2526;gtaG_M0774_1.02;0.00578;1;173
chr5;2517;2526;mybE_M1349_1.02;0.00171;1;584
chr3;1015;1020;hbx5-1_M0873_1.02;0.00009;1;10702
chr3;1015;1020;mybG_M1351_1.02;0.00026;2;7662
chr3;1015;1020;bzpH_M0283_1.02;0.00073;4;5514
chr3;1015;1020;gtaE_M0773_1.02;0.00057;1;1766
chr3;1015;1020;gbfA_M1673_1.02;0.00047;2;4289
chr3;1015;1020;hbx5-2_M0874_1.02;0.00033;1;3073
chr3;1015;1020;hbx10_M0878_1.02;0.00064;2;3127
chr5;1139;1146;dimB_M0289_1.02;0.00647;2;309
chr5;1139;1146;bzpH_M0283_1.02;0.00036;2;5514
chr5;1139;1146;gbfA_M1673_1.02;0.00047;2;4289
chr5;1139;1146;hbx10_M0878_1.02;0.00032;1;3127
chr5;1139;1146;bzpQ_M0286_1.02;0.00337;2;593
chr5;1139;1146;bzpO_M0287_1.02;0.00980;2;204
chr6;917;926;hbx5-1_M0873_1.02;0.00009;1;10702
chr6;917;926;mybG_M1351_1.02;0.00013;1;7662
chr6;917;926;srfA_M1297_1.02;0.00081;1;1240
chr6;917;926;gbfA_M1673_1.02;0.00023;1;4289
chr6;917;926;hbx10_M0878_1.02;0.00064;2;3127
chr6;917;926;hbx5-2_M0874_1.02;0.00033;1;3073
chr4;1401;1411;mybG_M1351_1.02;0.00013;1;7662
chr4;1401;1411;hbx5-1_M0873_1.02;0.00028;3;10702
chr4;1401;1411;gbfA_M1673_1.02;0.00023;1;4289
chr4;1401;1411;mybE_M1349_1.02;0.00171;1;584
chr4;1401;1411;gtaT_M0778_1.02;0.00188;1;532
chr6;640;648;hbx5-1_M0873_1.02;0.00028;3;10702
chr6;640;648;mybG_M1351_1.02;0.00026;2;7662
chr6;640;648;mybAA_M1347_1.02;0.00330;1;303
chr6;640;648;bzpH_M0283_1.02;0.00036;2;5514
chr6;640;648;gtaE_M0773_1.02;0.00057;1;1766
chr6;640;648;hbx5-2_M0874_1.02;0.00033;1;3073
chr2;2572;2581;DDB_G0275333_M0101_1.02;0.00047;1;2125
